book	entry	book_title_serbian	scripture_refs	situation_syriac	scripture_syriac	situation_greek_retroversion	scripture_greek_retroversion	situation_serbian	scripture_serbian
1	11	Против помисли стомакоугађања	Пс. 22, 1.	ܝܐ ܠܘܩܒܠ ܡܚܫܒܬܐ ܗܝ ܕܡܡܪܐ ܠܝ: ܒܥܘܡܪܐ ܕܡܣܟܢܘܬܐ ܡܪܝܪܬܐ.܀.	ܡܪܝܐ ܢܪܥܝܢܝ ܘܡܕܡ ܠܐ ܢܚܣܪ ܠܝ.	11. προς τον λογισμον τον καταπικραινοντα με επι βιωι πικρας πενιας	+ κυριος ποιμαινει με και ουδεν με υστερησει .	Против помисли које ме огорчује због живота у суровом сиромаштву:	Господ ме напаса и ничега ме неће лишити.
1	12	Против помисли стомакоугађања	Пс. 36, 25.	ܝܒ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܟܕ ܠܝܬ ܟܦܢܐ: ܒܥܠܬ ܚܘܒܐ ܕܐܟ̈ܣܢܝܐ: ܟܢܫܐ ܠܚܡܐ ܝܬܝܪ ܡܢ ܣܘܢܩܢܗ܀	ܛܠܐ ܗܘܝܬ ܘܣܐܒܬ ܘܠܐ ܚܙܝܬ ܙܕܝܩܐ ܕܐܫܬܒܩ. ܐܦܠܐ ܙܪܥܗ ܕܒܥܐ ܠܚܡܐ.	12. προς λογισμον τον λιμου ουκ οντος αιτιαι (= προφασει) ξενοφιλιας αρτον υπερ την χρειαν συναγοντα	+ νεωτερος εγενομην και εγηρασα και ουκ ιδον δικαιον εγκαταλελιμμενον ουδε το σπερμα αυτου ζητουν αρτους .	Против помисли која – чак и у време када не влада оскудица – гомила хлеб под изговорим пружања гостопримства:	Бејах млад и већ остарих, али не видех праведника остављеног, нити семе његово да проси хлеба.
1	13	Против помисли стомакоугађања	Пс. 37, 19.	ܝܓ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܝܨܦܐ ܥܠ ܡܐܟ̈ܠܬܐ ܘܥܠ ܠܒܘܫ̈ܐ. ܘܨܦܬܐ ܕܫܪܪܐ ܡܣܠܝܐ܀	ܡܛܠ ܕܐܚܘܝܟ ܣ̈ܟܠܘܬܝ. ܘܐܬܕܟܐ ܡܢ ܚ̈ܛܗܝ.	13. προς λογισμον περι εδεσματων και ενδυματων μεριμνωντα της δε αληθειας (αληθινης) μεριμνης αμελουντα	+ διοτι εξαγορευσω σοι τα παραπτωματα μου και καθαρισθησομαι απο των αμαρτιων μου .	Против помисли која се брине због хране и одеће, док је у погледу бриге о истини посве немарна:	Безакоње моје ја ћу објавити и бринућу се за грехе своје.
1	14	Против помисли стомакоугађања	Пс. 48, 10.	ܠܘܩܒܠ ܡܚܫ̈ܒܬܐ ܕܡ̈ܠܟܢ ܠܢ ܘܐܡܪ̈ܢ. ܠܐ ܗܟܢܐ ܩܫܝܐܝܬ ܬܗܘܐ ܡܬܕܒܪ: ܘܒܨܘܡܐ ܘܒܥܡܠܐ ܐܡܝܢܐ ܬܗܘܐ ܫܚܩ ܐܢܬ ܦܓܪܟ ܡܚܝܠܐ܀	ܠܐܝ ܠܥܠܡ ܘܬܐܚܐ ܠܥܠܡ ܥܠܡܝܢ. ܘܠܐ ܬܚܙܐ ܚܒܠܐ: ܟܕ ܬܚܙܐ ܚܟ̈ܝܡܐ ܕܡܝܬܝܢ.	14. προς λογισμους συμβουλευοντας μοι και λεγοντας μη ουτως σκληρως ανα­στρεφου και νηστειαι και πονωι διηνεκει συντριβε το σωμα σου το ασθενες	+ κοπιασον εις τον αιωνα και ζησηι εις τελος και ουκ οψηι καταφθοραν οταν ιδηις σοφους αποθνησκοντας .	Против помисли које нам саветују и говоре: „Немој се подвргавати овако суровом животу, јер ћеш постом и трудом истрошити своје слабо тело“:	И намучи се до века, и живеће до краја; јер, неће видети пропасти када угледа мудраце како умиру.
1	15	Против помисли стомакоугађања	Пс. 50, 19.	ܝܗ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܐܡܪܐ ܠܝ. ܕܠܐ ܗܟܢܐ ܕܠܐ ܚܘܣܢ ܬܫܚܘܩ ܘܬܡܟܟ ܢܦܫܟ ܒܫܗܪܐ܀	ܠܒܐ ܫܚܝܩܐ ܐܠܗܐ ܠܐ ܡܣܠܐ	15. προς λογισμον λεγοντα μοι μη ουτως ανοικτως συντριβε και ταπεινου την ψυχην σου αγρυπνιαι	+ καρδιαν συντετριμμενην ο θεος ουκ εξουδενωσει .	Против помисли која ми говори: „Немој се толико нештедимице изнуривати и мучити своју душу бдењем“:	Срце скрушено и унижено Бог неће одбацити.
1	16	Против помисли стомакоугађања	ψ 54, 23	ܝܘ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܝܨܦܐ ܕܡܐ̈ܩܠܬܐ ܘܕܡܫܬܝܐ: ܘܡܬܚܦܛܐ ܕܡܢ ܐܝܟܐ ܬܟܢܫ ܐܢܘܢ܀	ܫܕܝ ܨܦܬܟ ܥܠ ܡܪܝܐ ܘܗܘ ܢܬܪܣܝܟ.	16. προς λογισμον των τε εδεσματων και του ποτου επιμελουμενον και σπου­δαζοντα ποθεν αυτα συναγει	+ επιριψον την μεριμναν σου επι κυριον και αυτος σε διαθρεψει .	Против помисли која је забринута око хране и пића, те која се марљиво стара око њиховог прибављања:	Пренеси на Господа бригу своју и Он ће те прехранити.
1	17	Против помисли стомакоугађања	Пс. 101, 8.	ܝܙ ܠܘܩܒܠ ܡܚܢܫܒܬܐ ܕܡܪܢܝܐ ܠܝ: ܕܫܗܪܐ ܠܡ ܠܐ ܡܘܬܪ ܠܟ ܡܕܡ: ܐܠܐ ܠܚܘܫ̈ܒܐ ܣ̈ܓܝܐܐ ܡܟܢܫ ܥܠܝܟ܀	ܫܗܪܬ ܘܗܝܬ ܒܠܚܘܕܝ܆ ܐܝܟ ܨܦܪܐ ܕܡܦܪܚܐ ܥܠ ܐܓܪܐ.	17. προς λογισμον υποτιθεμενον μοι οτι αγρυπνια ουδεν σε ωφελει αλλα πολλους διαλογισμους κατα σου συναγει	+ ηγρυπνησα και εγενηθην μονος ως στρου­θιον πετομενον επι δωματι .	Против помисли која ми нашаптава: „Бдење ти ништа не користи, већ сабира спрам тебе многе помисли“:	Бдих и бејах као птица усамљена на крову куће.
1	18	Против помисли стомакоугађања	Пс. 108, 24.	ܝܚ. ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܟܐܝܐ ܒܢ: ܥܠ ܕܟܠܝܢܢ ܢܦܫܢ ܡܢ ܡܫܚܐ: ܘܠܐ ܡܬܕܟܪܐ ܠܕܘܝܕ: ܕܗܕ ܗܕܐ ܥܒܕ ܗܘܐ ܟܕ ܐܡܪ܀	ܕܒܘܪ̈ܟܝ ܐܬܟܪܗܘ ܡܢ ܨܘܡܐ: ܘܒܣܪܝ ܢܚܒ ܡܢ ܡܫܚܐ	18. προς λογισμον επιτιμωντα ημιν οτι απεχομεθα χρισματος και ου μνημονευοντα Δαυιδ αυτο τουτο ποιουντος και λεγοντος	+ τα γονατα μου ησθενησαν απο νηστιας και η σαρξ μου ηλλαωθη δι’ ελαιον .	Против помисли која нас прекорева што се уздржавамо од уља, те која се не сећа да је Давид чинио ово исто и говорио:	Колена моја изнемогоше од поста и тело се моје измени од недостатка уља.
1	19	Против помисли стомакоугађања	Пс. 117, 17.	ܝܛ ܠܘܩܒܠ ܡܚܫ̈ܟܬܐ ܕܡܥܟܪ̈ܢ ܠܢ ܡܢ ܕܘܒܪ̈ܝܢ: ܟܕ ܡܕܚܠܢ ܠܢ ܘܐܡܪ̈ܢ: ܕܡܘܬܐ ܕܕܐܘܘܢܐ ܢܦܩ ܡܢ ܨܘܡܐ ܩܫܝܐ܀	ܠܐ ܐܡܘܬ. ܐܠܐ ܐܚܐ ܘܐܫܬܥܐ ܥܒ̈ܕܘܗܝ ܕܡܪܝܐ.	19. προς λογισμους ημας της αναστροφης ημων αφισταντας εν τωι φοβειν ημας και λεγειν οτι θανατος οικτρος απο της σκληρας νηστειας γενησεται	+ ουκ αποθα­νουμαι αλλα ζησομαι και εκδιηγησομαι τα εργα κυριου .	Против помисли које нас ометају у нашем начину живота, те изазивају страх у нама и говоре: „Строги пост доноси јадну смрт“:	Нећу умрети него ћу жив бити и казиваћу дела Господња.
1	20	Против помисли стомакоугађања	Пс. 131, 3–5.	ܟ ܠܘܩܒܠ ܡܚܫ̈ܒܬܐ ܕܡ̈ܦܝܣܢ ܠܝ ܕܐܫܠܐ ܩܠܝܠ ܡܢ ܫܗܪܐ ܣܓܝܐܐ: ܘܐܬܠ ܩܠܝܠ ܢܝܚܐ ܠܦܓܪܐ ܡܚܝܠܐ ܘܕܘܝܐ܀	ܠܐ ܐܥܘܠ ܠܡܛܠܠܗ ܕܒܝܬܝ܆ ܘܠܐ ܐܣܩ ܠܬܫܘܝܬܗ ܕܥܪܣܝ. ܘܠܐ ܐܬܠ ܫܢܬܐ ܠܥܝ̈ܢܝ ܐܦܠܐ ܢܘܡܬܐ ܠܓܒ̈ܝܢܝ. ܥܕܡܐ ܕܐܫܟܚ ܐܬܪܐ ܠܡܪܝܐ: ܘܡܫܟܢܐ ܠܐܠܗܗ ܕܝܥܩܘܒ.	20. προς λογισμους αναπειθοντας με ινα ολιγον της πολλης νηστειας αποστω και ολιγον αναπαυσεως δω τωι ασθενει και οικτρωι σωματι	+ ει εισελευσομαι εις σκηνωμα οικου μου ει αναβησομαι επι κλινης στρωμνης μου ει δωσω υπνον τοις οφθαλμοις μου και τοις βλεφαροις μου νυσταγμον εως ου ευρω τοπον τωι κυριωι και σκηνωμα των θεωι Ιακωβ .	Против помисли које ме убеђују да мало попустим у честим бдењима, те да мало одморим своје јадно и слабо тело:	Ако ћу ући у насеље дома мога, ако ћу узаћи на одар постеље моје, ако ћу дати сан очима мојим, и трепавицама мојим дремање, и починак образима мојим, докле не нађем место Господу, шатор Богу Јаковљевом.
1	21	Против помисли стомакоугађања	Прич. 10, 3.	ܟܐ ܥܘܩܒܠ ܡܚܫܒܬܐ ܕܩܨܡܐ ܠܢ ܟܦܢܐ: ܐܘ ܐܘܠܨܢܐ ܪܒܐ ܕܒܥܓܠ ܗܘܐ܀	ܠܐ ܢܟܦܢ ܡܪܝܐ ܢܦܫ̈ܬܐ ܕܥܒ̈ܕܘܗܝ. ܘܚ̈ܚܗܘܢ ܕܪ̈ܫܝܥܐ ܢܘܒܕ.	21. προς λογισμον μαντευοντα μοι λιμον η θλιψιν μεγαλην δια ταχους γενησομενην	+ ου λιμοκτονησει κυριος ψυχας των δουλων αυτου ζωην δε ασεβων ανατρεψαι .	Против помисли која нам предвиђа долазак глади или велике невоље:	Господ неће изгладњивати душу праведника, већ ће уништити живот безбожника.
1	22	Против помисли стомакоугађања	Прич. 12, 11.	ܟܒ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܡܪܢܝܐ ܠܝ ܒܪܓܬ ܚܡܪܐ: ܐܝܟ ܗܘ ܠܡ ܕܡܬܛܪܝܢ ܡܢ ܡ̈ܝܐ ܟܒܕܐ ܘܛܚܠܐ܀.	ܡܢ ܕܪܐܓ ܒܝܬ ܡܫܬܝܐ܆ ܒܡ̈ܚܣܢܘܗܝ ܢܚܙܐ ܚܒܠܐ.	22. προς λογισμον υπεισαγοντα μοι ποθον οινου ωσπερ δη του τε ηπατος και των νεφρων υπο υδατος ενοχλουμενων	+ prov. 12,11a.	Против помисли која у мени изазива жеђ за вином под изговором да вода штети јетри и бубрезима:	Онај који ужива у винским гозбама оставиће бешчашће у својим тврђавама.
1	23	Против помисли стомакоугађања	Прич. 14, 23.	ܟܓ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܐܣܝܪܐ ܒܨܦܬܐ ܕܪܓܬ ܡ̈ܟܠܬܐ: ܘܨܦܬܐ ܕܢܨ̈ܚܢܐ ܡܣܠܝܐ܀	ܒܟܠ ܕܝܨܦ ܐܢܬ܆ ܚܕܐ ܗܝ ܕܡܘܬܪܐ ܠܟ. ܘܐܝܢܐ ܕܒܨܝܪ ܒܥܘܡܪܗ܆ ܢܝܚܐ ܘܒܣܝܡܐ ܢܗܘܐ.	23. προς λογισμον μεριμναι των εδεσματων προσδεδεμενον της δε των κατορ­θωματων επιμελειας ολιγωρουντα	+ εν παντι ο μεριμναις εστι τι σοι ωφελιμον ο δε ενδεης εν την αναστροφηι αυτου ηδυς και αναλγητος εσται .	Против помисли која се брине о храни и одбацује бригу о врлинским достигнућима:	Пажљив човек ће стећи изобиље, а брбљивац и лењивац ће се наћи у оскудици.
1	24	Против помисли стомакоугађања	Прич. 17, 1.	ܟܕ ܠܘܩܒܠ ܡܚܢܫܒܬܐ ܕܡܒܟܝܐ ܥܠ ܡܐܟ̈ܠܬܐ ܫܚܝ̈ܡܬܐ: ܘܥܠ ܠܚܡܐ ܝܒܝܫܐ܀	ܛܒ ܗܘ ܓܝܪ ܠܚܡܐ ܝܒܝܫܐ ܒܫܠܝܐ: ܛܒ ܡܢ ܒܝܬܐ ܕܡܠܐ ܕܒ̈ܚܐ ܒܕܝܢܐ.	24. προς λογισμον επι ευτελων εδεσματων και επι αρτου ξηρου δακρυοντα	+ κρεισσων ψωμος ξηρος εν ειρηνηι η οικος μεστος θυματων μετα μαχης .	Против помисли која јадикује због обичних јела и сувог хлеба:	Бољи је комад хлеба у миру, него кућа пуна многих добара и неправедних жртвених телаца у свађи.
1	25	Против помисли стомакоугађања	Прич. 19, 10.	ܟܗ ܠܘܩܒܠ ܡܚܫ̈ܒܬܐ ܕܡ̈ܦܝܣܢ ܠܢ ܕܒܝܘܡܐ ܕܥܐܕܐ ܕܢܚܘܣ ܩܠܝܠ ܥܠ ܦܓܪܢ: ܒܝܕ ܕܢܩܪܒ ܠܗ ܦܘܢ̈ܩܐ ܙܥܘܪ̈ܐ܀	ܠܐ ܝܐܐ ܦܘ̈ܢܟܐ ܠܣܟܠܐ܆ ܐܦܠܐ ܠܥܒܕܐ ܕܢܬܚܠܛ ܒܪܘܪ̈ܒܢܐ	25. προς λογισμους αναπειθοντας ημας ινα ημεραι εορτης ολιγον το σωμα οι­κτειρωμεν μικραν τρυφην αυτωι προσαγοντες	+ ου συμφερει αφρονι τρυφη ουδε δου­λωι ομιλειν αρχουσιν .	Против помисли које нас у дане празника наговарају да укажемо незнатно милосрђе своме телу, понудивши му извесне посластице:	Као што робу не доликује да влада над господарем, тако ни безумнику не приличи да се наслађује.
